#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.98154  0.02633  0.03466  1.48066  0.000071  0.000028  0.002516     2.511
   0.98462  0.02366  0.03312  1.47749  0.000066  0.000027  0.002828     2.470
   0.98756  0.02117  0.03157  1.46917  0.000063  0.000026  0.002941     2.473
   0.99037  0.01883  0.03000  1.46167  0.000058  0.000024  0.003311     2.429
   0.99307  0.01665  0.02841  1.44785  0.000055  0.000023  0.003481     2.422
   0.99566  0.01461  0.02680  1.43228  0.000052  0.000022  0.003648     2.419
   0.99816  0.01272  0.02518  1.41533  0.000049  0.000020  0.004030     2.382
   1.00057  0.01096  0.02353  1.39126  0.000046  0.000019  0.004270     2.366
   1.00289  0.00934  0.02187  1.36265  0.000043  0.000018  0.004463     2.356
   1.00514  0.00785  0.02018  1.32976  0.000041  0.000017  0.004789     2.327
   1.00732  0.00649  0.01847  1.28862  0.000039  0.000017  0.004930     2.316
   1.00944  0.00527  0.01674  1.24292  0.000037  0.000016  0.004929     2.322
   1.01150  0.00418  0.01499  1.19260  0.000034  0.000015  0.005400     2.265
   1.01351  0.00321  0.01323  1.12907  0.000034  0.000015  0.004954     2.305
   1.01547  0.00238  0.01145  1.06756  0.000031  0.000014  0.005332     2.248
   1.01738  0.00168  0.00967  0.99119  0.000031  0.000014  0.004910     2.266
   1.01926  0.00111  0.00789  0.91579  0.000030  0.000013  0.004783     2.251
   1.02109  0.00066  0.00612  0.83221  0.000029  0.000013  0.004550     2.230
   1.02288  0.00033  0.00435  0.74435  0.000029  0.000013  0.004043     2.236
   1.02465  0.00012  0.00260  0.66066  0.000029  0.000013  0.003538     2.258
   1.02639  0.00001  0.00086  0.57330  0.000028  0.000013  0.003357     2.207
   1.02812  0.00001 -0.00087  0.48042  0.000029  0.000013  0.002609     2.249
   1.02986  0.00012 -0.00261  0.39029  0.000028  0.000013  0.002286     2.194
   1.03162  0.00033 -0.00436  0.30047  0.000030  0.000013  0.001551     2.276
   1.03342  0.00066 -0.00612  0.21101  0.000027  0.000012  0.001265     2.209
   1.03525  0.00111 -0.00790  0.11098  0.000030  0.000013  0.000600     2.228
   1.03712  0.00168 -0.00968  0.02183  0.000030  0.000013  0.000117     2.230
   1.03904  0.00238 -0.01146 -0.06796  0.000030  0.000013  0.000363     2.230
   1.04100  0.00321 -0.01324 -0.15324  0.000032  0.000014  0.000767     2.241
   1.04300  0.00417 -0.01500 -0.23638  0.000032  0.000014  0.001191     2.226
   1.04507  0.00526 -0.01675 -0.31661  0.000033  0.000015  0.001508     2.247
   1.04719  0.00649 -0.01848 -0.39085  0.000034  0.000015  0.001789     2.247
   1.04937  0.00784 -0.02019 -0.45593  0.000037  0.000016  0.001902     2.271
   1.05162  0.00933 -0.02188 -0.52191  0.000037  0.000017  0.002248     2.233
   1.05394  0.01095 -0.02354 -0.57452  0.000041  0.000018  0.002059     2.313
   1.05635  0.01271 -0.02519 -0.62955  0.000041  0.000018  0.002448     2.237
   1.05885  0.01461 -0.02681 -0.67588  0.000045  0.000019  0.002238     2.310
   1.06144  0.01664 -0.02842 -0.72110  0.000046  0.000020  0.002432     2.270
   1.06414  0.01882 -0.03001 -0.75792  0.000050  0.000021  0.002229     2.324
   1.06695  0.02116 -0.03158 -0.79520  0.000051  0.000022  0.002360     2.290
   1.06989  0.02365 -0.03313 -0.82743  0.000055  0.000023  0.002227     2.323
   1.07297  0.02632 -0.03467 -0.85672  0.000057  0.000025  0.002188     2.325
   1.07620  0.02916 -0.03620 -0.88333  0.000060  0.000026  0.002119     2.335
   1.07960  0.03220 -0.03772 -0.90706  0.000064  0.000027  0.002035     2.347
   1.08318  0.03545 -0.03924 -0.92855  0.000067  0.000029  0.001958     2.355
   1.08696  0.03892 -0.04074 -0.94905  0.000071  0.000030  0.001909     2.356
   1.09097  0.04264 -0.04224 -0.96759  0.000075  0.000031  0.001827     2.366
   1.09523  0.04662 -0.04374 -0.98288  0.000079  0.000033  0.001704     2.389
   1.09975  0.05089 -0.04523 -0.99868  0.000083  0.000035  0.001676     2.381
   1.10458  0.05548 -0.04672 -1.01220  0.000088  0.000037  0.001578     2.397
   1.10974  0.06043 -0.04821 -1.02518  0.000092  0.000038  0.001519     2.400
   1.11527  0.06575 -0.04969 -1.03583  0.000098  0.000040  0.001417     2.420
   1.12121  0.07150 -0.05116 -1.04550  0.000103  0.000042  0.001342     2.429
   1.12758  0.07771 -0.05263 -1.05498  0.000108  0.000044  0.001289     2.430
   1.13444  0.08441 -0.05408 -1.06284  0.000114  0.000047  0.001208     2.445
   1.14181  0.09164 -0.05551 -1.06959  0.000121  0.000049  0.001134     2.458
   1.14974  0.09945 -0.05691 -1.07618  0.000127  0.000052  0.001084     2.460
   1.15825  0.10785 -0.05827 -1.08128  0.000135  0.000054  0.001011     2.476
   1.16737  0.11687 -0.05959 -1.08582  0.000142  0.000057  0.000954     2.485
   1.17709  0.12651 -0.06084 -1.08995  0.000149  0.000060  0.000906     2.490
   1.18741  0.13676 -0.06202 -1.09262  0.000158  0.000063  0.000841     2.508
   1.19832  0.14761 -0.06311 -1.09549  0.000166  0.000066  0.000803     2.509
   1.20977  0.15903 -0.06410 -1.09673  0.000176  0.000069  0.000742     2.530
   1.22175  0.17097 -0.06499 -1.09820  0.000184  0.000073  0.000708     2.533
   1.23418  0.18338 -0.06577 -1.09868  0.000193  0.000076  0.000662     2.547
   1.24703  0.19621 -0.06642 -1.09912  0.000202  0.000079  0.000630     2.553
   1.26024  0.20941 -0.06696 -1.09876  0.000212  0.000083  0.000590     2.567
   1.27377  0.22293 -0.06738 -1.09834  0.000222  0.000086  0.000560     2.575
   1.28757  0.23673 -0.06768 -1.09751  0.000231  0.000089  0.000530     2.585
   1.30162  0.25078 -0.06786 -1.09627  0.000241  0.000093  0.000500     2.598
   1.31587  0.26503 -0.06793 -1.09542  0.000250  0.000096  0.000482     2.599
   1.33030  0.27946 -0.06789 -1.09358  0.000261  0.000100  0.000450     2.619
   1.34489  0.29404 -0.06775 -1.09217  0.000270  0.000103  0.000433     2.623
   1.35961  0.30877 -0.06750 -1.09027  0.000281  0.000106  0.000409     2.636
   1.37446  0.32361 -0.06717 -1.08833  0.000291  0.000110  0.000389     2.647
   1.38941  0.33856 -0.06674 -1.08643  0.000300  0.000113  0.000373     2.654
   1.40446  0.35360 -0.06622 -1.08448  0.000310  0.000116  0.000357     2.662
   1.41960  0.36872 -0.06562 -1.08209  0.000321  0.000120  0.000337     2.679
   1.43481  0.38392 -0.06495 -1.08009  0.000331  0.000123  0.000325     2.684
   1.45010  0.39919 -0.06419 -1.07759  0.000342  0.000127  0.000307     2.701
   1.46545  0.41451 -0.06336 -1.07541  0.000351  0.000130  0.000296     2.707
   1.48085  0.42990 -0.06247 -1.07315  0.000361  0.000133  0.000284     2.716
   1.49632  0.44533 -0.06151 -1.07102  0.000371  0.000136  0.000275     2.721
   1.51183  0.46081 -0.06048 -1.06927  0.000378  0.000139  0.000270     2.717
   1.52738  0.47632 -0.05939 -1.06883  0.000378  0.000141  0.000465     2.677
   1.54298  0.49188 -0.05825 -1.05771  0.000280  0.000156  0.002087     1.799
   1.55862  0.50747 -0.05704 -1.05534  0.000263  0.000176  0.003352     1.497
   1.57429  0.52309 -0.05579 -1.05370  0.000283  0.000202  0.003754     1.406
   1.59000  0.53875 -0.05448 -1.05227  0.000318  0.000229  0.003737     1.386
   1.60574  0.55443 -0.05312 -1.05000  0.000356  0.000257  0.003616     1.384
   1.62151  0.57013 -0.05171 -1.04776  0.000394  0.000285  0.003499     1.385
   1.63730  0.58586 -0.05026 -1.04506  0.000433  0.000312  0.003392     1.386
   1.65312  0.60161 -0.04876 -1.04241  0.000470  0.000339  0.003303     1.386
   1.66897  0.61738 -0.04722 -1.03943  0.000508  0.000366  0.003223     1.386
   1.68484  0.63317 -0.04563 -1.03664  0.000545  0.000393  0.003156     1.384
   1.70073  0.64898 -0.04401 -1.03358  0.000582  0.000421  0.003092     1.383
   1.71664  0.66480 -0.04234 -1.03044  0.000619  0.000448  0.003034     1.382
   1.73257  0.68064 -0.04064 -1.02731  0.000656  0.000475  0.002980     1.380
   1.74851  0.69649 -0.03890 -1.02396  0.000694  0.000503  0.002927     1.379
   1.76447  0.71235 -0.03713 -1.02057  0.000732  0.000531  0.002876     1.378
   1.78044  0.72822 -0.03532 -1.01703  0.000770  0.000559  0.002827     1.377
   1.79642  0.74409 -0.03348 -1.01341  0.000809  0.000588  0.002779     1.376
   1.81241  0.75997 -0.03160 -1.00956  0.000849  0.000617  0.002730     1.375
   1.82840  0.77584 -0.02970 -1.00565  0.000889  0.000647  0.002684     1.374
   1.84438  0.79170 -0.02777 -1.00155  0.000930  0.000677  0.002636     1.374
   1.86033  0.80754 -0.02581 -0.99722  0.000973  0.000708  0.002588     1.374
   1.87625  0.82333 -0.02383 -0.99265  0.001017  0.000740  0.002539     1.374
   1.89211  0.83906 -0.02183 -0.98789  0.001062  0.000773  0.002490     1.374
   1.90787  0.85470 -0.01982 -0.98268  0.001109  0.000807  0.002438     1.375
   1.92348  0.87017 -0.01781 -0.97729  0.001158  0.000842  0.002385     1.376
   1.93885  0.88542 -0.01580 -0.97146  0.001210  0.000878  0.002329     1.378
   1.95391  0.90035 -0.01381 -0.96503  0.001265  0.000917  0.002269     1.381
   1.96857  0.91487 -0.01185 -0.95822  0.001324  0.000957  0.002206     1.384
   1.98267  0.92885 -0.00995 -0.95056  0.001388  0.001000  0.002136     1.388
   1.99602  0.94207 -0.00813 -0.94221  0.001458  0.001046  0.002061     1.393
   2.00845  0.95438 -0.00643 -0.93301  0.001536  0.001096  0.001978     1.401
   2.01989  0.96571 -0.00485 -0.92245  0.001626  0.001153  0.001881     1.411
   2.03040  0.97612 -0.00339 -0.90994  0.001738  0.001220  0.001767     1.425
   2.04006  0.98568 -0.00204 -0.89374  0.001894  0.001308  0.001617     1.448
   2.04896  0.99449 -0.00079 -0.87128  0.002140  0.001437  0.001407     1.489
   2.05452  1.00000  0.00000 -0.82674  0.002808  0.001737  0.000978     1.616
   2.05452  1.00010  0.00000  0.82674  0.009661  0.005583  0.000000     1.730
   2.06008  1.00566  0.00001  0.85395  0.007929  0.004959  0.000000     1.599
   2.06638  1.01196  0.00003  0.86916  0.007157  0.004656  0.000000     1.537
   2.07349  1.01907  0.00006  0.88241  0.006574  0.004415  0.000000     1.489
   2.08154  1.02712  0.00011  0.89393  0.006117  0.004220  0.000000     1.449
   2.09065  1.03622  0.00018  0.90414  0.005745  0.004059  0.000000     1.415
   2.10094  1.04652  0.00027  0.91326  0.005433  0.003923  0.000000     1.385
   2.11259  1.05816  0.00038  0.92145  0.005167  0.003807  0.000000     1.357
   2.12576  1.07133  0.00052  0.92886  0.004934  0.003706  0.000000     1.332
   2.14065  1.08623  0.00070  0.93561  0.004729  0.003618  0.000000     1.307
   2.15750  1.10307  0.00092  0.94178  0.004546  0.003541  0.000000     1.284
   2.17655  1.12212  0.00119  0.94744  0.004380  0.003472  0.000000     1.262
   2.19810  1.14367  0.00152  0.95265  0.004230  0.003410  0.000000     1.240
   2.22247  1.16804  0.00193  0.95746  0.004092  0.003355  0.000000     1.220
   2.25003  1.19560  0.00243  0.96189  0.003966  0.003306  0.000000     1.200
   2.28121  1.22676  0.00303  0.96598  0.003851  0.003261  0.000000     1.181
   2.31646  1.26201  0.00375  0.96975  0.003746  0.003221  0.000000     1.163
   2.35634  1.30188  0.00462  0.97322  0.003650  0.003185  0.000000     1.146
   2.40144  1.34697  0.00567  0.97639  0.003563  0.003153  0.000000     1.130
   2.45245  1.39796  0.00693  0.97928  0.003485  0.003124  0.000000     1.115
   2.51014  1.45563  0.00843  0.98191  0.003415  0.003098  0.000000     1.102
   2.57538  1.52085  0.01022  0.98429  0.003353  0.003075  0.000000     1.090
   2.64917  1.59461  0.01234  0.98642  0.003298  0.003055  0.000000     1.080
   2.73263  1.67803  0.01486  0.98833  0.003250  0.003036  0.000000     1.070
   2.82702  1.77238  0.01784  0.99002  0.003208  0.003021  0.000000     1.062
   2.93378  1.87908  0.02135  0.99150  0.003172  0.003007  0.000000     1.055
   3.05452  1.99974  0.02548  0.99291  0.003139  0.002994  0.000000     1.049
