#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           hk
    1.1956       1.1997    
    1.2268       1.1807    
    1.2620       1.1627    
    1.3019       1.1458    
    1.3470       1.1300    
    1.3980       1.1155    
    1.4556       1.1022    
    1.5209       1.0903    
    1.5946       1.0796    
    1.6780       1.0702    
    1.7724       1.0619    
    1.8791       1.0548    
    1.9997       1.0486    

